Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Italy,European Region of WHO,South West Europe,2017,1,2017-01-02,2017-01-08,648,648,0,1,217,0,52,270,0,0,3,3,273,375,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2017,2,2017-01-09,2017-01-15,834,834,0,4,298,0,57,359,0,0,6,6,365,469,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2017,3,2017-01-16,2017-01-22,810,819,0,4,305,0,31,340,0,0,3,3,343,467,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2017,4,2017-01-23,2017-01-29,646,848,0,1,278,0,29,308,0,0,6,6,314,332,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2017,5,2017-01-30,2017-02-05,639,638,0,0,191,0,37,228,9,0,4,13,241,398,Regional Outbreak
Italy,European Region of WHO,South West Europe,2017,6,2017-02-06,2017-02-12,615,615,0,2,150,0,7,159,9,1,3,13,172,443,Regional Outbreak
Italy,European Region of WHO,South West Europe,2017,7,2017-02-13,2017-02-19,491,491,0,4,81,0,1,86,10,2,3,15,101,387,Regional Outbreak
Italy,European Region of WHO,South West Europe,2017,8,2017-02-20,2017-02-26,506,506,0,0,44,0,3,47,7,1,7,15,62,444,Local Outbreak
Italy,European Region of WHO,South West Europe,2017,9,2017-02-27,2017-03-05,343,343,0,1,11,0,6,18,9,0,11,20,38,305,Sporadic
Italy,European Region of WHO,South West Europe,2017,10,2017-03-06,2017-03-12,392,392,0,1,11,0,3,15,3,0,11,14,29,363,Sporadic
Italy,European Region of WHO,South West Europe,2017,11,2017-03-13,2017-03-19,307,307,0,0,7,0,0,7,3,0,8,11,18,289,Sporadic
Italy,European Region of WHO,South West Europe,2017,12,2017-03-20,2017-03-26,250,250,0,0,4,0,0,4,1,0,2,3,7,243,Sporadic
Italy,European Region of WHO,South West Europe,2017,13,2017-03-27,2017-04-02,200,200,0,0,1,0,0,1,1,0,2,3,4,196,Sporadic
Italy,European Region of WHO,South West Europe,2017,14,2017-04-03,2017-04-09,181,181,0,0,1,0,0,1,0,0,3,3,4,177,Sporadic
Italy,European Region of WHO,South West Europe,2017,15,2017-04-10,2017-04-16,113,113,0,0,0,0,0,0,0,0,3,3,3,110,Sporadic
Italy,European Region of WHO,South West Europe,2017,16,2017-04-17,2017-04-23,123,123,0,1,0,0,0,1,2,0,0,2,3,120,Sporadic
Italy,European Region of WHO,South West Europe,2017,17,2017-04-24,2017-04-30,59,59,0,0,0,0,0,0,1,0,0,1,1,58,Sporadic
